skuagr_2,descriprod_agrp2,lineaproducto,grupo_producto,sub_grupo_1,sub_grupo_2,cobertura_contrato,perfil_terapeutico,atc,base_pbs,grupo_riesgo
65749075G7,MICOFELONATO 180 MG  TABLETA   MYFORTIC,COMERCIALES 2,ALTO COSTO,MX_AP_ESPPR,ACC_TERAPIA ORAL,P B S,TRANSPLANTES,L04AA06,PBS 2021,105
65758375G5,MICOFELONATO 250 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESPPR,ACC_TERAPIA ORAL,P B S,TRANSPLANTES,L04AA06,PBS 2021,105
65765775G6,MICOFELONATO 360 MG  TABLETA   MYCOTAS,COMERCIALES 1,ALTO COSTO,MX_AP_ESPPR,ACC_TERAPIA ORAL,P B S,TRANSPLANTES,L04AA06,PBS 2021,105
65765775G7,MICOFELONATO 360 MG  TABLETA   MYFORTIC,COMERCIALES 2,ALTO COSTO,MX_AP_ESPPR,ACC_TERAPIA ORAL,P B S,TRANSPLANTES,L04AA06,PBS 2021,105
65775875G5,MICOFELONATO 500 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESPPR,ACC_TERAPIA ORAL,P B S,TRANSPLANTES,L04AA06,PBS 2021,105
65775875G6,MICOFELONATO 500 MG  TABLETA   CELLCEPT,COMERCIALES 1,ALTO COSTO,MX_AP_ESPPR,ACC_TERAPIA ORAL,P B S,TRANSPLANTES,L04AA06,PBS 2021,105
65970433G5,MICROLYTE AG 5 CM X 5 CM  (APOSITOS),GENERICOS,PRIMER NIVEL,HOSPITALARIO,INSUMOS,NO PBS,Z-NOAGRUPADO,DM,NO PBS,199
65992933G5,MICROLYTE AG 10 CM X 10 CM  (APOSITOS),GENERICOS,PRIMER NIVEL,HOSPITALARIO,INSUMOS,NO PBS,Z-NOAGRUPADO,DM,NO PBS,199
66080575G5,MIDAZOLAM 7.5 MG  TABLETA,GENERICOS,PRIMER NIVEL,MXCE,MCE_FV,P B S,PSIQUIATRIA,N05CD08,PBS 2021,103
66136775G5,MINOXIDIL 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C02DC01,PBS 2021,101
66274175G5,MIRABEGRON 50 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,UROLOGIA,G04BD12,PBS 2021,199
66360975G5,MIRTAZAPINA 30 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N06AX11,INCLUSION 2022,103
66454875G5,MISOPROSTOL 200 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,GINECOLOGIA,A02BB01,MIXTO,199
66522367G5,MOMETASONA FUROATO (0.05%) 0.05 GR/100ML  SOLUCION NASAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA RESPIRATORIA,P B S,SISTEMA RESPIRATORO,R01AD09,INCLUSION 2022,199
66688057G6,MONOGEN   POLVO ORAL   LATA X 400 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
66736775G5,MONTELUKAST 10 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R03DC03,PBS 2021,199
66766556G5,MONTELUKAST 4 MG  POLVO GRANULADO,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R03DC03,PBS 2021,199
66766577G5,MONTELUKAST 4 MG  TABLETA MASTICABLE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R03DC03,PBS 2021,199
66770877G5,MONTELUKAST 5 MG  TABLETA MASTICABLE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R03DC03,PBS 2021,199
66837275G5,MONTELUKAST 10 MG + LEVOCETIRIZINA 5 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R03DC53,INCLUSION 2022,199
66927769G5,MORFINA (3%) 30 MG/ML  SOLUCION ORAL,GENERICOS,PRIMER NIVEL,MXCE,MCE_ME,P B S,MEDICINA DEL DOLOR,N02AA01,PBS 2021,199
67071575G5,MOSAPRIDA 5 MG + PANCREATINA 170 MG + SIMETICONA 125 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,A06AG20,INCLUSION 2022,199
67124868G5,MOXIFLOXACINA (0.5%) 5 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01AE07,PBS 2021,199
67168375G5,MOXIFLOXACINA 400 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIBIOTICOS,J01MA14,PBS 2021,199
67224568G5,MOXIFLOXACINA (0.5%) 5 MG + DEXAMETASONA (0.1%) 1 MG (/ML) SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S03CA01,PBS 2021,199
67320369G6,MULTIVITAMINAS & MINERALES & ZINC   SOLUCION ORAL   PEDIAVIT,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SUPLEMENTOS Y VITAMINAS,A11AA03,INCLUSION 2022,199
67420375G5,MULTIVITAMINAS Y MINERALES PRENATALES   TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SUPLEMENTOS Y VITAMINAS,A11AA01,INCLUSION 2022,199
67526880G5,MUPIROCINA (2%) 2 GR/100 GR  UNGUENTO TOPICO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,ANTIINFECCIOSOS,D06AX09,INCLUSION 2022,199
67766266G5,NADROPARINA CALCICA 3800 UI/0.4ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA INYECTABLE,P B S,CARDIOVASCULAR,B01AB06,PBS 2021,199
67888057G6,NAN AR   POLVO ORAL   LATA X 400 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
67988657G6,NAN PRO   POLVO ORAL   LATA X 1.100 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
67988857G6,NAN PRO   POLVO ORAL   LATA X 900 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
68046469G5,NAPROXENO 150 MG/5ML  SOLUCION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,M01AE02,PBS 2021,199
68058375G5,NAPROXENO 250 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,M01AE02,PBS 2021,199
68075875G5,NAPROXENO 500 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,M01AE02,PBS 2021,199
68152075G5,NARATRIPTAN 2.5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02CC02,PBS 2021,199
68262466G5,NATALIZUMAB 300 MG/15 ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,REUMATOLOGIA,L04AA23,PBS 2021,199
68329068G5,NATAMICINA (5%) 50 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_AUTOAPLICABLES,P B S,ANTIINFECCIOSOS,S01AA10,INCLUSION 2022,199
68470875G5,NEBIVOLOL 5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C07AB12,INCLUSION 2022,101
68588057G6,NEOCATE JUNIOR   POLVO ORAL   LATA X 400 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
68688057G6,NEOCATE SYNEO   POLVO ORAL   LATA X 400 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
68722970G5,NEOMICINA (0.1%) 1 MG + ANTIPIRINA (5%) 50 MG + BENZOCAINA (4%) 40 MG (/ML) SOLUCION OTICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,OTICOS,S01CA03,INCLUSION 2022,199
68824670G5,NEOMICINA (0.5%) 5 MG + COLISTINA (0.15%) 1.58 MG + HIDROCORTISONA (0.05%) 0.5 MG (/ML) SOLUCION OTICA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,OTICOS,S02CA03,PBS 2021,199
68991869G6,NEPRO AP   SOLUCION ORAL   FRASCO X 237 ML,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,LIQUIDO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
69091869G6,NEPRO BP   SOLUCION ORAL   FRASCO X 237 ML,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,LIQUIDO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
69189557G6,NESTOGENO 1   POLVO ORAL   LATA X 800 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
69278875G5,NIFEDIPINO OSMOTICA 60 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C08CA05,PBS 2021,101
69336775G5,NIFEDIPINO RETARD 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C08CA05,PBS 2021,101
69445975G5,NILOTINIB 150 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,L01XE08,INCLUSION 2022,199
69454875G5,NILOTINIB 200 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,L01XE08,INCLUSION 2022,199
69526845G5,NIMESULIDA (2%) 2 GR/100 GR  GEL TOPICO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,Z-NOAGRUPADO,M01AX17,INCLUSION 2024,199
69527645G5,NIMESULIDA (3%) 3 GR/100 GR  GEL TOPICO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,Z-NOAGRUPADO,M01AX17,INCLUSION 2024,199
69538856G5,NIMESULIDA 100 MG  POLVO GRANULADO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,Z-NOAGRUPADO,M01AX17,INCLUSION 2024,199
69538875G5,NIMESULIDA 100 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,Z-NOAGRUPADO,M01AX17,INCLUSION 2024,199
69760975G5,NIMODIPINO 30 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,C08CA06,PBS 2021,101
69838835G5,NINTEDANIB 100 MG  CAPSULA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,NO PBS,Z-NOAGRUPADO,L01XE31,NO PBS,199
69838875G5,NINTEDANIB 100 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,NO PBS,Z-NOAGRUPADO,L01XE31,NO PBS,199
69940754G5,NISTATINA 100.000 UI  OVULO,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,GINECOLOGIA,G01AA01,PBS 2021,199
69940837G5,NISTATINA 100.000 UI/100 GR  CREMA TOPICA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,ANTIINFECCIOSOS,G01AA01,PBS 2021,199
69940974G5,NISTATINA 100.000 UI/ML  SUSPENSION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,D01AA01,PBS 2021,199
69976975G5,NISTATINA 500.000 UI  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,D01AA01,PBS 2021,199
70038037G5,NISTATINA 10.000.000 UI + OXIDO DE ZINC 200 MG (/100 GR) CREMA TOPICA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,ANTIINFECCIOSOS,D01AA01,PBS 2021,199
70175875G5,NITAZOXANIDA 500 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,P01AX11,INCLUSION 2022,199
70238835G5,NITROFURANTOINA 100 MG  CAPSULA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIBIOTICOS,J01XE01,PBS 2021,199
70274135G5,NITROFURANTOINA 50 MG  CAPSULA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIBIOTICOS,J01XE01,PBS 2021,199
70323280G5,NITROFURAZONA (0.2%) 0.2 GR/100 GR  UNGUENTO TOPICO,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,P B S,DERMATOLOGICOS,D08AF99,INCLUSION 2022,199
70430361G5,NITROFUROZONA 0.2 GR/100 GR  POMADA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,ANTIINFECCIOSOS,D08AF99,INCLUSION 2022,199
70575066G5,NITROGLICERINA 50 MG/10ML  SOLUCION INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,CARDIOVASCULAR,C01DA02,VENTAS IPS,199
70675166G5,NITROPUSIATO DE SODIO 50 MG/2ML  SOLUCION INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,CARDIOVASCULAR,C02DD01,VENTAS IPS,199
70766866G5,NOREPINEFRINA 4 MG/4ML  SOLUCION INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,CARDIOVASCULAR,C01CA03,VENTAS IPS,199
70874666G5,NORETISTERONA 50 MG + ESTRADIOL 5 MG (/ML) SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA INYECTABLE,P B S,ANTICONCEPTIVOS,G03AB04,INCLUSION 2022,104
70968375G5,NORFLOXACINA 400 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIBIOTICOS,J01MA06,PBS 2021,199
71089757G6,NUTRAMIGEN PREMIUM   POLVO ORAL   LATA X 357 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
71192269G6,NUTREN   SOLUCION ORAL   FRASCO X 250 ML,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,LIQUIDO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
71292269G6,NUTREN PULMONARY   SOLUCION ORAL   FRASCO X 250 ML,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,LIQUIDO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
71388057G6,NUTRIBEN AE 1   POLVO ORAL   LATA X 400 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
71488057G6,NUTRIBEN HIDROLIZADA 1   POLVO ORAL   LATA X 400 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
71599886G5,BOLSA DE NUTRICION PARENTERAL NUTRIFLO BOLSA X 1.5LT   ,GENERICOS,PRIMER NIVEL,HOSPITALARIO,DISPOSITIVOS,P B S,MATERIALES,DM,PBS 2021,199
71620375G5,NUXVOM   TABLETA,GENERICOS,ALTO COSTO,HOMEOP TICOS,0,NO PBS,Z-NOAGRUPADO,HOMEO,NO PBS,199
71762366G5,OCRELIZUMAB 300 MG/10ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,TERAPIA INYECTABLE,NO PBS,Z-NOAGRUPADO,L04AA36,NO PBS,199
71836775G5,OLANZAPINA 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N05AH03,PBS 2021,103
71870875G5,OLANZAPINA 5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N05AH03,PBS 2021,103
71953475G5,OLMESARTAN 20 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09CA08,PBS 2021,101
71967475G5,OLMESARTAN 40 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09CA08,PBS 2021,101
72067575G5,OLMESARTAN 40 MG + AMLODIPINO 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09DB04,PBS 2021,101
72067875G5,OLMESARTAN 40 MG + AMLODIPINO 5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09DB04,PBS 2021,101
72351947G5,OLODATEROL 2.5 MCG + TIOTROPIO 2.5 MCG  INHALADOR BUCAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA RESPIRATORIA,P B S,SISTEMA RESPIRATORO,R03AL06,INCLUSION 2022,199
72423068G5,OLOPATADINA (0.1%) 1 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01GX09,INCLUSION 2022,199
72423568G5,OLOPATADINA (0.2%) 2 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01GX09,INCLUSION 2022,199
72546566G5,OMALIZUMAB 150 MG/ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,SISTEMA RESPIRATORO,R03DX05,INCLUSION 2022,199
72581658G5,OMALIZUMAB 75 MG  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,SISTEMA RESPIRATORO,R03DX05,INCLUSION 2022,199
72650769G5,OMEPRAZOL 2 MG/ML  SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,A02BC01,PBS 2021,199
72653435G5,OMEPRAZOL 20 MG  CAPSULA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,A02BC01,PBS 2021,199
72667458G5,OMEPRAZOL 40 MG  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,SISTEMA DIGESTIVO,A02BC01,VENTAS IPS,199
72667475G5,OMEPRAZOL 40 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,A02BC01,PBS 2021,199
72782375G5,ONDANSETRON 8 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ONCOLOGIA,A04AA01,PBS 2021,199
72782566G5,ONDANSETRON 8 MG/4ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA INYECTABLE,NO PBS,Z-NOAGRUPADO,A04AA01,NO PBS,199
72842835G5,ORLISTAT 120 MG  CAPSULA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,NO PBS,Z-NOAGRUPADO,A08AB01,NO PBS,199
72991869G6,OSMOLITE HN PLUS 1.2 KCAL/ML   SOLUCION ORAL   FRASCO X 237 ML,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,LIQUIDO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
72992369G6,OSMOLITE HN PLUS 1.2 KCAL/ML   SOLUCION ORAL   FRASCO X 1500 ML,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,LIQUIDO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
73033058G5,OXACILINA 1 GR  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,VENTAS IPS,ANTIBIOTICOS,J01CF04,VENTAS IPS,199
73179275G5,OXAPROXINA 600 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,REUMATOLOGIA,M01AE12,INCLUSION 2022,199
73261575G5,OXCARBAZEPINA 300 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIEPILEPTICOS,N03AF02,PBS 2021,102
73262674G5,OXCARBAZEPINA 300 MG/5ML  SUSPENSION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIEPILEPTICOS,N03AF02,PBS 2021,102
73279275G5,OXCARBAZEPINA 600 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIEPILEPTICOS,N03AF02,PBS 2021,102
73340169G5,OXIBUTINA 100 MG/ML  SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,UROLOGIA,G04BD04,PBS 2021,199
73370875G5,OXIBUTINA 5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,UROLOGIA,G04BD04,PBS 2021,199
73436775G5,OXICODONA 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02AA05,PBS 2021,199
73453475G5,OXICODONA 20 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02AA05,PBS 2021,199
73467475G5,OXICODONA 40 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02AA05,PBS 2021,199
73537276G5,OXICODONA 10 MG + NALOXONA 5 MG  TABLETA LIBERACION PROLONGADA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02AA05,INCLUSION 2022,199
73553576G5,OXICODONA 20 MG + NALOXONA 10 MG  TABLETA LIBERACION PROLONGADA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02AA05,INCLUSION 2022,199
73567676G5,OXICODONA 40 MG + NALOXONA 20 MG  TABLETA LIBERACION PROLONGADA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02AA05,INCLUSION 2022,199
73668375G5,OXIDO DE MAGENESIO 400 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,NO PBS,Z-NOAGRUPADO,N03AG01,NO PBS,199
737100637G5,OXIDO DE ZINC 25 GR/100 GR  CREMA TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D02AB99,INCLUSION 2022,199
73736537G5,OXIDO DE ZINC 10 GR/100 GR  CREMA TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D02AB99,INCLUSION 2022,199
73821567G5,OXIMETAZOLINA (0.025%) 0.25 MG/ML  SOLUCION NASAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA RESPIRATORIA,P B S,SISTEMA RESPIRATORO,R01AA05,PBS 2021,199
73822467G5,OXIMETAZOLINA (0.05%) 0.5 MG/ML  SOLUCION NASAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA RESPIRATORIA,P B S,SISTEMA RESPIRATORO,R01AA05,PBS 2021,199
73943675G5,PALBOCICLIB 125 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,L01XE33,INCLUSION 2022,199
74040166G5,PALIPERIDONA 100 MG/ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,PSIQUIATRIA,N05AX13,PBS 2021,103
74046366G5,PALIPERIDONA 150 MG/1.5ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,PSIQUIATRIA,N05AX13,PBS 2021,103
74081766G5,PALIPERIDONA 75 MG/0.75ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,PSIQUIATRIA,N05AX13,PBS 2021,103
74086666G5,PALIPERIDONA 546 MG/1.75ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,PSIQUIATRIA,N05AX13,PBS 2021,103
74140166G5,PALIVIZUMAB 100 MG/ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,SISTEMA RESPIRATORO,J06BB16,PBS 2021,199
74174966G5,PALIVIZUMAB 50 MG/0.5ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,SISTEMA RESPIRATORO,J06BB16,PBS 2021,199
74258375G5,PAMOATO DE PIRANTEL 250 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIPARASITARIOS,P02CC01,PBS 2021,199
74258574G5,PAMOATO DE PIRANTEL 250 MG/5ML  SUSPENSION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIPARASITARIOS,P02CC01,PBS 2021,199
74453475G5,PANTOPRAZOL 20 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,A02BC02,PBS 2021,199
74467475G5,PANTOPRAZOL 40 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,A02BC02,PBS 2021,199
74586286G5,PANAL ADULTO TALLA L   ,GENERICOS,COMPLEMENTARIOS,PANALES,PA ALES,NO PBS,COMPLEMENTARIOS,0,NO PBS,199
